rank,university,位置,score,logo_path,logo_url
101-150,加州大学洛杉矶分校,美国,,logos_cn/加州大学洛杉矶分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg
101-150,康涅狄格大学,美国,,logos_cn/康涅狄格大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-connecticut_140_small.jpg
101-150,德里大学,印度,,logos_cn/德里大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-delhi_156_small.jpg
101-150,肯特大学,英国,,logos_cn/肯特大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-kent_592560cf2aeae70239af4bbf_small.jpg
101-150,里斯本大学,葡萄牙,,logos_cn/里斯本大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-lisbon_1475_small.jpg
101-150,明尼苏达大学,美国,,logos_cn/明尼苏达大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-minnesota_408_small.jpg
101-150,南安普敦大学,英国,,logos_cn/南安普敦大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-southampton_567_small.jpg
101-150,弗吉尼亚大学,美国,,logos_cn/弗吉尼亚大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-virginia_656_small.jpg
101-150,华沙大学,波兰,,logos_cn/华沙大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-warsaw_663_small.jpg
101-150,滑铁卢大学,加拿大,,logos_cn/滑铁卢大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-waterloo_670_small.jpg
101-150,威斯康星大学麦迪逊分校,美国,,logos_cn/威斯康星大学麦迪逊分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-wisconsin-madison_678_small.jpg
101-150,苏黎世大学,瑞士,,logos_cn/苏黎世大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-zurich_693_small.jpg
101-150,乌普萨拉大学,瑞典,,logos_cn/乌普萨拉大学-m.jpg,https://www.qschina.cn/sites/default/files/uppsala-university_643_small.jpg
101-150,乌拉尔联邦大学,俄罗斯,,logos_cn/乌拉尔联邦大学-m.jpg,https://www.qschina.cn/sites/default/files/ural-federal-university-urfu_592560cf2aeae70239af505a_small.jpg
101-150,乌得勒支大学,荷兰,,logos_cn/乌得勒支大学-m.jpg,https://www.qschina.cn/sites/default/files/utrecht-university_646_small.jpg
101-150,惠灵顿维多利亚大学,新西兰,,logos_cn/惠灵顿维多利亚大学-m.jpg,https://www.qschina.cn/sites/default/files/victoria-university-of-wellington_592560cf2aeae70239af4d0f_small.jpg
101-150,威廉姆斯大学明斯特,德国,,logos_cn/威廉姆斯大学明斯特-m.jpg,https://www.qschina.cn/sites/default/files/westflische-wilhelms-universitt-mnster_421_small.jpg
151-200,加州理工大学（Caltech),美国,,logos_cn/加州理工大学（Caltech)-m.jpg,https://www.qschina.cn/sites/default/files/california-institute-of-technology-caltech_94_small.jpg
151-200,布拉格查理大学,捷克共和国,,logos_cn/布拉格查理大学-m.jpg,https://www.qschina.cn/sites/default/files/charles-university_117_small.jpg
151-200,Ecole des Hautes Etudes en Sciences Sociales,法国,,logos_cn/Ecole des Hautes Etudes en Sciences Sociales-m.jpg,https://www.qschina.cn/sites/default/files/ecole-des-hautes-etudes-en-sciences-sociales_592560cf2aeae70239af583e_small.jpg
151-200,里昂高等师范学院,法国,,logos_cn/里昂高等师范学院-m.jpg,https://www.qschina.cn/sites/default/files/cole-normale-suprieure-de-lyon_175_small.jpg
151-200,埃默里大学,美国,,logos_cn/埃默里大学-m.jpg,https://www.qschina.cn/sites/default/files/emory-university_185_small.jpg
151-200,乔治奥古斯特哥廷根大学,德国,,logos_cn/乔治奥古斯特哥廷根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-gttingen_234_small.jpg
151-200,高丽大学,韩国,,logos_cn/高丽大学-m.jpg,https://www.qschina.cn/sites/default/files/korea-university_325_small.jpg
151-200,拉筹伯大学,澳大利亚,,logos_cn/拉筹伯大学-m.jpg,https://www.qschina.cn/sites/default/files/la-trobe-university_592560cf2aeae70239af4bd1_small.jpg
151-200,芝加哥洛约拉大学,美国,,logos_cn/芝加哥洛约拉大学-m.jpg,https://www.qschina.cn/sites/default/files/loyola-university-chicago_370_small.jpg
151-200,密歇根州立大学,美国,,logos_cn/密歇根州立大学-m.jpg,https://www.qschina.cn/sites/default/files/michigan-state-university_402_small.jpg
151-200,名古屋大学,日本,,logos_cn/名古屋大学-m.jpg,https://www.qschina.cn/sites/default/files/nagoya-university_427_small.jpg
151-200,国立政治大学,台湾,,logos_cn/国立政治大学-m.jpg,https://www.qschina.cn/sites/default/files/national-chengchi-university_436_small.jpg
151-200,智利天主教大学,智利,,logos_cn/智利天主教大学-m.jpg,https://www.qschina.cn/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg
151-200,里约热内卢天主大学,巴西,,logos_cn/里约热内卢天主大学-m.jpg,https://www.qschina.cn/sites/default/files/pontifcia-universidade-catlica-do-rio-de-janeiro_526_small.jpg
151-200,罗格斯堡 - 新泽西州立大学纽瓦克,美国,,logos_cn/罗格斯堡 - 新泽西州立大学纽瓦克-m.jpg,https://www.qschina.cn/sites/default/files/rutgers-the-state-university-of-new-jersey_592560cf2aeae70239af52b1_small.jpg
151-200,巴黎政治学院,法国,,logos_cn/巴黎政治学院-m.jpg,https://www.qschina.cn/sites/default/files/sciences-po-_592560cf2aeae70239af4c64_small.jpg
151-200,Scuola Normale Superiore di Pisa,意大利,,logos_cn/Scuola Normale Superiore di Pisa-m.jpg,https://www.qschina.cn/sites/default/files/scuola-normale-superiore-di-pisa_25824_small.jpg
151-200,西蒙弗雷泽大学,加拿大,,logos_cn/西蒙弗雷泽大学-m.jpg,https://www.qschina.cn/sites/default/files/simon-fraser-university_562_small.jpg
151-200,曼彻斯特大学,英国,,logos_cn/曼彻斯特大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-manchester_389_small.jpg
151-200,西澳大学（UWA）,澳大利亚,,logos_cn/西澳大学（UWA）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-western-australia_673_small.jpg
