rank,university,位置,score,logo_path,logo_url
101-150,开普敦大学,南非,,logos_cn/开普敦大学-m.jpg,https://www.qschina.cn/sites/default/files/uct-graduate-school-of-business_592560cf2aeae70239af4ae5_small.jpg
101-150,根特大学,比利时,,logos_cn/根特大学-m.jpg,https://www.qschina.cn/sites/default/files/ghent-university_228_small.jpg
101-150,格罗宁根大学,荷兰,,logos_cn/格罗宁根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-groningen_243_small.jpg
101-150,伊利诺伊大学香槟分校,美国,,logos_cn/伊利诺伊大学香槟分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg
101-150,莱斯特大学,英国,,logos_cn/莱斯特大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-leicester_339_small.jpg
101-150,利物浦大学,英国,,logos_cn/利物浦大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-liverpool_350_small.jpg
101-150,圣母大学,美国,,logos_cn/圣母大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-notre-dame_458_small.jpg
101-150,奥斯陆大学,挪威,,logos_cn/奥斯陆大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-oslo_473_small.jpg
101-150,奥塔哥大学,新西兰,,logos_cn/奥塔哥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-otago_474_small.jpg
101-150,苏塞克斯大学,英国,,logos_cn/苏塞克斯大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-sussex_592560cf2aeae70239af4ccd_small.jpg
101-150,乌拉尔联邦大学,俄罗斯,,logos_cn/乌拉尔联邦大学-m.jpg,https://www.qschina.cn/sites/default/files/ural-federal-university-urfu_592560cf2aeae70239af505a_small.jpg
101-150,惠灵顿维多利亚大学,新西兰,,logos_cn/惠灵顿维多利亚大学-m.jpg,https://www.qschina.cn/sites/default/files/victoria-university-of-wellington_592560cf2aeae70239af4d0f_small.jpg
101-150,早稻田大学,日本,,logos_cn/早稻田大学-m.jpg,https://www.qschina.cn/sites/default/files/waseda-university_592560cf2aeae70239af4d1c_small.jpg
101-150,延世大学,韩国,,logos_cn/延世大学-m.jpg,https://www.qschina.cn/sites/default/files/yonsei-university_688_small.jpg
101-150,约克大学,加拿大,,logos_cn/约克大学-m.jpg,https://www.qschina.cn/sites/default/files/york-university_592560cf2aeae70239af4d39_small.jpg
101-150,浙江大学,中国(大陆),,logos_cn/浙江大学-m.jpg,https://www.qschina.cn/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_small.jpg
151-200,哈拉克国立大学,哈萨克斯坦,,logos_cn/哈拉克国立大学-m.jpg,https://www.qschina.cn/sites/default/files/al-farabi-kazakh-national-university_2146_small.jpg
151-200,亚利桑那州立大学,美国,,logos_cn/亚利桑那州立大学-m.jpg,https://www.qschina.cn/sites/default/files/arizona-state-university_592560cf2aeae70239af4a9c_small.jpg
151-200,北京师范大学,中国(大陆),,logos_cn/北京师范大学-m.jpg,https://www.qschina.cn/sites/default/files/beijing-normal-university_869_small.jpg
151-200,波士顿大学,美国,,logos_cn/波士顿大学-m.jpg,https://www.qschina.cn/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg
151-200,卡迪夫大学,英国,,logos_cn/卡迪夫大学-m.jpg,https://www.qschina.cn/sites/default/files/cardiff-university_592560cf2aeae70239af4ae6_small.jpg
151-200,布拉格查理大学,捷克,,logos_cn/布拉格查理大学-m.jpg,https://www.qschina.cn/sites/default/files/charles-university_117_small.jpg
151-200,达特茅斯学院,美国,,logos_cn/达特茅斯学院-m.jpg,https://www.qschina.cn/sites/default/files/dartmouth-college_592560cf2aeae70239af4b1c_small.jpg
151-200,鹿特丹伊拉斯谟大学,荷兰,,logos_cn/鹿特丹伊拉斯谟大学-m.jpg,https://www.qschina.cn/sites/default/files/erasmus-university-rotterdam_190_small.jpg
151-200,希伯来大学,以色列,,logos_cn/希伯来大学-m.jpg,https://www.qschina.cn/sites/default/files/the-hebrew-university-of-jerusalem_256_small.jpg
151-200,拉瓦尔大学,加拿大,,logos_cn/拉瓦尔大学-m.jpg,https://www.qschina.cn/sites/default/files/laval-university_337_small.jpg
151-200,麦考瑞大学,澳大利亚,,logos_cn/麦考瑞大学-m.jpg,https://www.qschina.cn/sites/default/files/macquarie-university_378_small.jpg
151-200,南京大学,中国(大陆),,logos_cn/南京大学-m.jpg,https://www.qschina.cn/sites/default/files/nanjing-university_430_small.jpg
151-200,纽卡斯尔大学,英国,,logos_cn/纽卡斯尔大学-m.jpg,https://www.qschina.cn/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg
151-200,罗格斯大学 - 新泽西州立大学新不伦瑞克分校,美国,,logos_cn/罗格斯大学 - 新泽西州立大学新不伦瑞克分校-m.jpg,https://www.qschina.cn/sites/default/files/rutgers-university-new-brunswick_538_small.jpg
151-200,中山大学,中国(大陆),,logos_cn/中山大学-m.jpg,https://www.qschina.cn/sites/default/files/sun-yat-sen-university_888_small.jpg
151-200,特拉维夫大学,以色列,,logos_cn/特拉维夫大学-m.jpg,https://www.qschina.cn/sites/default/files/tel-aviv-university_592560cf2aeae70239af4cde_small.jpg
151-200,阿德莱德大学,澳大利亚,,logos_cn/阿德莱德大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-adelaide_10_small.jpg
151-200,西澳大学（UWA）,澳大利亚,,logos_cn/西澳大学（UWA）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-western-australia_673_small.jpg
151-200,格拉纳达大学,西班牙,,logos_cn/格拉纳达大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-granada_235_small.jpg
151-200,萨拉曼卡大学,西班牙,,logos_cn/萨拉曼卡大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-salamanca_544_small.jpg
